StationID,Station
1322023,"Crusinallo, stazione"
1322024,"Cuzzago, bivio FS"
1322025,Cuzzego di Cardezza
1322026,"Domodossola, Cappuccina"
1322027,"Domodossola, Corso Cairoli 20"
1322029,"Domodossola, Ospedale"
1322030,"Domodossola, piazza Orsi Mose"
1322031,"Domodossola, piazza Repubblica"
1322032,"Domodossola, via di Vittorio"
1322033,"Domodossola, via Sant'Antonio"
1322034,"Domodossola, via Scappacino"
1322035,"Domodossola, via Torino"
1322036,"Domodossola, via Turati"
1322037,Fondotoce (ex stab. Gewa)
1322038,Fondovalle
1322039,Foppiano
1322040,Gabbio
1322041,Giosio
1322042,Gozzi
1322043,"Gravellona Toce, crociera"
1322044,"Gravellona Toce, bivio FS"
1322045,"Gravellona Toce, via Sempione"
1322047,"Intra, rimessa"
1322048,Locasca
1322049,"Macugnaga, Borca"
1322050,"Macugnaga, Pecetto"
1322051,"Macugnaga, Pestarena"
1322052,"Macugnaga, Staffa"
1322053,Madonna (Valle d'Antrona)
1322054,"Malpensa, aeroporto"
1322055,Masera
1322056,Megolo
1322057,Megolo Mezzo
1322058,Migiandone Bivio
1322059,Miramonti
1322060,Mocogna
1322061,Molini
1322062,Montecrestese
1322063,Nava
1322064,Naviledo
1322065,Oira
1322066,"Omegna, stazione"
1322067,"Omegna, Ospedale"
1322068,"Omegna, via de Amicis"
1322069,Ornavasso
1322070,"Ornavasso, stazione"
1322072,"Pallanza, Tribunale"
1322073,"Pallanzeno, stazione"
1322074,Passo
1322075,Piedilago
1322076,"Piedimulera, stazione"
1322077,"Piedimulera, piazza Gramsci"
1322078,"Pieve Vergonte, centro"
1322079,Ponte di Crevola
1322080,Ponte Formazza
1322081,Pontegrande
1322082,Pontemaglio
1322083,Pontetto di Montecrestese
1322084,Prata di Vogogna
1322085,Prato
1322086,Preglia di Crevoladossola
1322087,Premia
1322089,Riale di Formezza
1322090,Rivasco
1322091,Roldo
1322092,Rumianca
1322093,San Carlo
1322094,San Lorenzo
1322095,San Michele
1322096,San Rocco
1322097,Schieranco
1322098,Seppiana
1322099,Valbianca
1322100,Valdo
1322101,Vanzone
1322102,"Varzo, stazione"
1322103,"Verbania Intra, imb. Vecchio"
1322104,Viganella
1322105,"Villadossola, Bivio Gaggio"
1322106,"Villadossola, Corso Italia"
1322108,"Villadossola, Centro"
1322109,"Villadossola, Corso Sempione"
1322110,"Villadossola, Stab Sisma"
1322111,"Villadossola, Via B. Novello"
1322112,"Villadossola, Villagio Sisma"
1322113,"Vogogna, bivio FS"
1322114,Vogogna/Piedimulera
8000339,Weissenhorn Eschach
8000709,Neckarsulm Mitte
8000778,Asselheim (D)
8000781,Grünstadt-Nord
8000988,Witzighausen
8001345,Ulm ZOB
8002015,Nördlingen
8002023,Ebermergen
8002038,Möttingen
8002039,Hoppingen
8002040,Harburg (Schwab)
8002041,Wörnitzstein
8002042,Donauwörth
8002056,Mertingen Bahnhof
8002062,Nordendorf
8002063,Meitingen
8002069,Augsburg-Oberhausen
8002072,Augsburg-Hochzoll
8002084,Günzburg
8002085,Leipheim
8002087,Nersingen
8002089,Neu-Ulm
8002091,Wasserburg(Günz)
8002092,Kleinkötz
8002093,Hochwang (D)
8002094,Ichenhausen
8002095,Ellzee
8002096,Neuburg(Kammel)
8002097,Billenhausen
8002098,Krumbach (Schwab)
8002099,Krumbach(Schwab)Schule
8002100,Offingen
8002101,Mindelaltheim
8002102,Burgau (Schwab)
8002103,Jettingen
8002104,Freihalden
8002106,Dinkelscherben
8002112,Kutzenhausen
8002113,Gessertshausen
8002114,Diedorf (Schwab)
8002116,Westheim (Schwab)
8002118,Neusäss
8002140,Augsburg Hbf
8002142,Augsburg Haunstetterstrasse
8002143,Kissing
8002144,Mering
8002145,Althegnenberg
8002146,Haspelmoor
8002147,Mammendorf
8002156,Geltendorf
8002181,Buchloe
8002188,Kaufering
8002216,Türkheim (Bay) Bahnhof
8002218,Niederraunau
8002219,Aletshausen
8002220,Haupeltshofen
8002221,Loppenhausen
8002222,Breitenbrunn(Schwab)
8002223,Pfaffenhausen
8002224,Weilbach(Unterallg)
8002227,Hausen(Schwab)
8002228,Nassenbeuren
8002229,Hirschfelden
8002230,Mindelheim
8002233,Neu-Ulm Finninger Strasse
8002234,Gerlenhofen
8002235,Senden
8002238,Weissenhorn
8002239,Vöhringen
8002240,Bellenberg
8002241,Illertissen
8002242,Altenstadt(Iller)
8002244,Kellmünz
8002253,Memmingen
8002262,Bad Grönenbach
8002264,Dietmannsried
8002307,Kempten (Allgäu) Hbf
8002309,Kempten (Allgäu) Ost
8002340,Martinszell (Allgäu)
8002342,Immenstadt
8002343,Blaichach (Allgäu)
8002344,Sonthofen
8002362,Wullenstetten
8002371,Lindau Hbf$Lindau (D)$<4>
8002374,Wasserburg (Bodensee)
8002375,Nonnenhorn
8002377,Altstädten(Allgäu)
8002379,Fischen
8002380,Langenwang (Schwab)
8002381,Oberstdorf
8002576,"Untergrombach, Bahnhof Ost"
8004238,Neckarsulm Nord
8005575,Alzey Süd
8007281,Karlsruhe Hagsfeld
8007486,Neidenfels (D)
8007507,Hinterweidenthal-Ost
8011018,Wiesbaden Hbf
8011068,Frankfurt (Main) Hbf$Frankfurt (Main)$<4>
8011088,Frankfurt-Niederrad
8011089,Frankfurt-Stadion
8011091,Zeppelinheim
8011211,Walldorf (Hess)
8011212,Mörfelden
8011243,Gross Gerau-Dornberg
8011244,Gross Gerau-Dornheim
8011245,Riedstadt-Wolfskehlen
8011246,Riedstadt-Goddelau
8011247,Stockstadt (Rhein)
8011248,Biebesheim
8011249,Gernsheim
8011250,Gross Rohrheim
8011251,Biblis
8011252,Hofheim (Ried)
8011253,Bobstadt
8011254,Bürstadt
8011255,Riedrode
8011256,Lorsch
8011259,Lampertheim
8011285,Langen (Hess)
8011295,Darmstadt Süd
8011296,Darmstadt-Eberstadt
8011298,Bickenbach (Bergstr)
8011299,Hähnlein Alsbach
8011303,Zwingenberg (Bergstr)
8011304,Bensheim-Auerbach
8011306,Bensheim
8011307,Heppenheim (Bergstrasse)
8011308,Laudenbach(Bergstr)
8011309,Hemsbach
8011311,Weinheim(Bgstr)
8011313,Birkenau
8011314,Reisen(Hess)
8011315,Mörlenbach
8011316,Zotzenbach
8011317,Rimbach
8011318,Lörzenbach-Fahrenbach
8011319,Fürth (Odenw)
8011330,Lützelsachsen
8011331,Heddesheim/Hirschberg
8011332,Ladenburg
8011336,Darmstadt Hbf
8011472,Mainz-Kastel
8012968,Nürnberg ZOB
8013372,Landau (Pfalz) Süd
8014003,Mannheim-Waldhof
8014006,Mannheim-Käfertal
8014008,Mannheim Hbf
8014009,Mannheim Hbf (Busbahnhof)
8014015,Mannheim ARENA
8014016,Mannheim-Seckenheim
8014017,Mannheim-Friedrichsfeld Süd
8014018,Mannheim-Friedrichsfeld
8014020,Heidelberg Pfaffengrund/Wiebl.
8014021,Heidelberg Hbf
8014031,Heidelberg-Kirchheim
8014033,St Ilgen-Sandhausen
8014035,Wiesloch-Walldorf
8014036,Rot-Malsch
8014037,Bad Schönborn-Kronau
8014038,Bad Schönborn Süd
8014039,Ubstadt-Weiher
8014040,Bruchsal
8014041,Untergrombach
8014042,Weingarten (Baden)
8014043,Karlsruhe-Durlach
8014048,Mannheim-Neckarau
8014051,Mannheim-Rheinau
8014061,Schwetzingen
8014062,Oftersheim
8014063,Hockenheim
8014064,Neulussheim
8014066,Waghäusel
8014067,Wiesental
8014068,Graben-Neudorf
8014069,Friedrichstal (Baden)
8014070,Blankenloch
8014071,Karlsruhe Hagsfeld Stadtbahn
8014081,Karlsruhe-Knielingen
8014083,Karlsruhe-Mühlburg
8014087,Rheinsheim
8014088,Philippsburg (Baden)
8014089,Huttenheim (D)
8014090,Karlsdorf
8014094,Bretten
8014095,Karlsruhe-West
8014096,Eppingen
8014112,Heidelberg Altstadt
8014113,Heidelberg Schlierbach/Ziegelh
8014114,Neckargemünd
8014116,Neckarsteinach
8014118,Neckarhausen b Neckarsteinach
8014119,Hirschhorn (Neckar)
8014121,Eberbach
8014122,Lindach
8014123,Zwingenberg (Baden)
8014124,Neckargerach (D)
8014125,Binau
8014126,Mosbach-Neckarelz
8014130,Neckarzimmern
8014131,Hassmersheim
8014132,Gundelsheim (Neckar)
8014134,Offenau
8014136,Mosbach (Baden)
8014149,Neckarburken
8014150,Dallau
8014151,Auerbach(b Mosbach)
8014152,Oberschefflenz
8014153,Eicholzheim
8014154,Seckach
8014156,Bödigheim
8014157,Buchen (Odenw)
8014158,Hainstadt(Baden)
8014159,Walldürn
8014163,Rippberg
8014164,Buchen Ost
8014165,Adelsheim Nord
8014166,Zimmern(b Seckach)
8014169,Bammental
8014170,Reilsheim
8014171,Mauer(b Heidelberg)
8014172,Meckesheim
8014180,Wyhlen
8014181,Dogern
8014184,Zuzenhausen (D)
8014185,Hoffenheim
8014186,Sinsheim(Elsenz) Hbf
8014187,Steinsfurt
8014189,Reihen
8014190,Ittlingen
8014191,Richen(b Eppingen)
8014194,Grombach
8014195,Babstadt
8014196,Bad Rappenau
8014198,Bad Wimpfen
8014200,Bad Wimpfen-Hohenstadt
8014228,Karlsruhe Hbf
8014231,Karlsruhe Bahnhofsvorplatz
8014238,Ettlingen West
8014239,Bruchhausen (b Ettl)
8014240,Malsch
8014241,Muggensturm
8014245,Rastatt
8014251,Kuppenheim
8014254,Gaggenau
8014255,Hörden
8014256,Gernsbach
8014258,Weisenbach
8014261,Forbach(Schwarzw)
8014266,Schönmünzach
8014270,Klosterreichenbach
8014271,Baiersbronn Bf
8014277,Baden-Baden
8014281,Bühl (Baden)
8014283,Achern
8014288,Renchen (D)
8014289,Appenweier
8014309,Offenburg
8014318,Friesenheim (Baden)
8014319,Lahr (Schwarzw)
8014324,Orschweier
8014325,Ringsheim
8014326,Herbolzheim (Breisgau)
8014327,Kenzingen
8014328,Riegel-Malterdingen
8014329,Köndringen
8014330,Teningen-Mundingen
8014331,Emmendingen
8014332,Kollmarsreute
8014335,Denzlingen
8014347,Gundelfingen (Breisgau)
8014348,Freiburg (D) Zähringen
8014349,Freiburg (D) Herdern
8014350,Freiburg (Breisgau) Hbf$Freiburg im Breisgau$<4>
8014364,Freiburg (D) Wiehre
8014365,Freiburg (D) Littenweiler
8014367,Kirchzarten
8014368,Himmelreich
8014372,Hinterzarten
8014373,Titisee
8014376,Feldberg-Bärental
8014377,Altglashütten-Falkau
8014378,Aha
8014379,Schluchsee
8014380,Seebrugg
8014384,Neustadt (Schwarzw)
8014404,Freiburg (D) St. Georgen
8014405,Ebringen
8014406,Schallstadt
8014407,Norsingen
8014408,Bad Krozingen
8014410,Heitersheim
8014411,Buggingen
8014413,Müllheim (Baden)
8014416,Auggen
8014417,Schliengen
8014418,Bad Bellingen
8014419,Rheinweiler
8014420,Kleinkems
8014421,Istein
8014422,Efringen-Kirchen
8014423,Eimeldingen
8014424,Haltingen
8014428,Weil am Rhein
8014429,Weil am Rhein-Ost
8014439,Riehen
8014440,Lörrach-Stetten
8014441,Lörrach Hbf
8014443,Lörrach Haagen/Messe
8014444,Lörrach Brombach/Hauingen
8014445,Steinen (D)
8014446,Maulburg
8014447,Schopfheim
8014448,Fahrnau
8014449,Hausen-Raitbach
8014450,Zell (Wiesental)$Zell (W)$<4>$Zell im Wiesental$<4>
8014458,Grenzach
8014459,Wyhlen (D)
8014460,Herten (Baden)
8014462,Rheinfelden (D)
8014463,Beuggen
8014464,Schwörstadt
8014465,Wehr-Brennet
8014466,Bad Säckingen
8014467,Murg (Baden)
8014468,Laufenburg (Baden)
8014469,Laufenburg (Baden) Ost
8014471,Albbruck
8014472,Dogern (D)
8014474,Waldshut
8014478,Tiengen (Hochrhein)
8014479,Lauchringen
8014480,Griessen (Baden)
8014481,Erzingen (Baden)
8014482,Wilchingen-Hallau
8014483,Neunkirch
8014484,Beringen Bad Bf
8014485,Neuhausen Bad Bf
8014487,Herblingen
8014488,Trasadingen
8014490,Thayngen
8014491,Bietingen
8014492,Gottmadingen
8014497,Gengenbach
8014499,Biberach (Baden)
8014500,Steinach (Baden)
8014501,Haslach
8014502,Hausach
8014511,Hornberg (Schwarzw)
8014513,Triberg
8014518,St Georgen (Schwarzw)
8014521,Villingen (Schwarzw)
8014529,Donaueschingen
8014533,Geisingen
8014534,Immendingen
